entity,entity_label,relation,relation_label,proxy,proxy_label,relation1,relation1_label,target,target_label,entitySource,targetSource
https://purl.net/climatesense/lack/entity/2ea308e750b75cc5cbef6f7810254019b5f0fe72,Rick Muncrief,https://purl.net/climatesense/lack/ns#leadsAt,"leads at""@en",https://purl.net/climatesense/lack/entity/a1b3216d4f583d6df3453f002bdd07733b5e1693,API,https://purl.net/climatesense/lack/ns#sponsored,"sponsored""@en",https://purl.net/climatesense/lack/entity/3963a0b5bbb9fd8054161f63c0c76eca17487360,Hydraulic Fracturing Recommended Practices workshop,https://lobbymap.org,https://www.desmog.com
https://purl.net/climatesense/lack/entity/ef07dfcd87c270c2e5bbc3d99b1f654deb41787d,Nick Stavropoulos,https://purl.net/climatesense/lack/ns#leadsAt,"leads at""@en",https://purl.net/climatesense/lack/entity/bae4fddf4f0b0b14453e843ffc4af434ad39b464,PG&E,https://purl.net/climatesense/lack/ns#memberOf,"member of""@en",https://purl.net/climatesense/lack/entity/5475807d46410cec7a424cfe316a93d8dcdb482c,Zero Emission Transportation Association (ZETA),https://www.desmog.com,https://lobbymap.org
https://purl.net/climatesense/lack/entity/639831b14c5ed1585a58d856fa3b4f693d4869ed,Hideo Hatano,https://purl.net/climatesense/lack/ns#contributedTo,"contributed to""@en",https://purl.net/climatesense/lack/entity/bf12b2a19d0001a1bf9f9f820ef51f836f6e6446,JXTG Holdings,https://purl.net/climatesense/lack/ns#memberOf,"member of""@en",https://purl.net/climatesense/lack/entity/fbf6894cd047eb8de9800405e9dad637ab6c081f,Japanese Shipowners' Association (JSA),https://www.desmog.com,https://lobbymap.org
https://purl.net/climatesense/lack/entity/974f189b8468003983632198ac505b3a785b7a5d,Ivar Giaever,https://purl.net/climatesense/lack/ns#employedBy,"employed by""@en",https://purl.net/climatesense/lack/entity/fd65ee9473f14dedba73e4f0c32d7dbb9ddce1aa,GE,https://purl.net/climatesense/lack/ns#memberOf,"member of""@en",https://purl.net/climatesense/lack/entity/081746699dd91bed12fc41f5544872b915d5dfdd,American Clean Power Association,https://www.desmog.com,https://lobbymap.org
https://purl.net/climatesense/lack/entity/cb8f1d6656e0b3a8941f3afa777d751f1751068b,Mary Barra,https://purl.net/climatesense/lack/ns#employedBy,"employed by""@en",https://purl.net/climatesense/lack/entity/e8526618a67354063d4f83bc26d7c1f370433ae2,General Motors,https://purl.net/climatesense/lack/ns#hasPartner,"has partner""@en",https://purl.net/climatesense/lack/entity/4fc78d62887a45a78f01e67d044ddade22d1e475,Teneo,https://lobbymap.org,https://www.desmog.com
https://purl.net/climatesense/lack/entity/229a6d6662740600263c29d15280fc795e7f79fb,Darren Woods,https://purl.net/climatesense/lack/ns#leadsAt,"leads at""@en",https://purl.net/climatesense/lack/entity/28c72699190c4faf8190c0dd8b6eb7ceb5997919,Exxon,https://purl.net/climatesense/lack/ns#sponsored,"sponsored""@en",https://purl.net/climatesense/lack/entity/9ada4615d4959746aa4bbfe4f9c5100b15ead0bf,Heartland Institute,https://influencemap.org,https://www.desmog.com
https://purl.net/climatesense/lack/entity/e3de5d924e0ae35b49596857d0ce34fbcdb5407d,Whitecap Resources Inc,https://purl.net/climatesense/lack/ns#memberOf,"member of""@en",https://purl.net/climatesense/lack/entity/b436f753be18a51bb8b3c239600877aebeb9eb50,Canadian Petroleum Association (CPA),https://purl.net/climatesense/lack/ns#hasPartner,"has partner""@en",https://purl.net/climatesense/lack/entity/6a31382f91e5dcae813405d8d9433b4b2947d646,Center for Industrial Progress (CIP),https://lobbymap.org,https://www.desmog.com
https://purl.net/climatesense/lack/entity/969e3430cec9a9856df94dbedeec369b6fa66b72,Dentsu,https://purl.net/climatesense/lack/ns#hasPartner,"has partner""@en",https://purl.net/climatesense/lack/entity/4ed523645c2b84f6f6a77c5852a13f46ac515a3f,Tata Motors,https://purl.net/climatesense/lack/ns#memberOf,"member of""@en",https://purl.net/climatesense/lack/entity/ea2564b39108be56d835c6fd72468dbad50bde1a,cii.in,https://www.desmog.com,https://lobbymap.org
https://purl.net/climatesense/lack/entity/20bdd8349e3f76e3df377abd704e94489ea31e8f,Cambridge Analytica,https://purl.net/climatesense/lack/ns#hasPartner,"has partner""@en",https://purl.net/climatesense/lack/entity/d3448a03e8b36fcb2c8aa28e0af7ac97f8775ee0,BP,https://purl.net/climatesense/lack/ns#memberOf,"member of""@en",https://purl.net/climatesense/lack/entity/d7ef097a15b8ba7a7273641ff591eb2ea31e9f04,Business Council of Australia,https://www.desmog.com,https://influencemap.org
https://purl.net/climatesense/lack/entity/d232bd4fb7c8e54be0e2ee22a62cfb5998c6ca9a,Ken Cuccinelli,https://purl.net/climatesense/lack/ns#fundedBy,"funded by""@en",https://purl.net/climatesense/lack/entity/5174d24f34330b49b9e263d5d8b7147cb384a932,Bank of America,https://purl.net/climatesense/lack/ns#memberOf,"member of""@en",https://purl.net/climatesense/lack/entity/3128f7b9a0c40ad5344e9c8bad818635b578c3d5,Confederation of British Industry,https://www.desmog.com,https://lobbymap.org
